Epoch	Auc	Accuracy	loss
1	0.501605349479	0.729475736874	0.586724568691
2	0.525842450918	0.730138799335	0.581531403852
3	0.580667604122	0.730138799335	0.578553823222
4	0.624314534217	0.730138799335	0.564703937886
5	0.64113369092	0.730000443782	0.557389932019
6	0.645046277968	0.730459888637	0.555737404153
7	0.651204554515	0.73132134774	0.553290736063
8	0.665167754672	0.734709753544	0.547386270149
9	0.678806587395	0.737469033156	0.54118913452
10	0.685229982456	0.738338323705	0.53824420433
11	0.687745738063	0.738322660812	0.537105076148
12	0.688898548167	0.738168642367	0.536575646007
13	0.689548834805	0.738132095617	0.536266889556
14	0.689973352634	0.738207799599	0.536057278248
15	0.690279762037	0.738236514902	0.535901186855
16	0.690514854162	0.73832005033	0.535778395965
17	0.690702716458	0.738288724545	0.535678397864
18	0.690857130878	0.738330492259	0.53559499061
19	0.690987487195	0.738286114062	0.535524160867
20	0.691098604378	0.738260009241	0.535463115999
21	0.691195001732	0.738218241527	0.535409786073
22	0.691280486578	0.738199968152	0.535362554448
23	0.691356933562	0.738194747188	0.535320089465
24	0.6914272481	0.73816081092	0.535281224708
25	0.691493094072	0.738184305259	0.535244933196
26	0.691556294555	0.738152979474	0.535210301434
27	0.691618181304	0.738150368992	0.535176531412
28	0.691680111077	0.738205189116	0.535143002069
29	0.691742763102	0.738168642367	0.535109276484
30	0.691806354507	0.738273061652	0.535075093353
31	0.691871349483	0.738369649491	0.53504037112
32	0.691937317594	0.738374870455	0.535005100204
33	0.692004416292	0.738395754312	0.534969354714
34	0.692072221505	0.73847928974	0.534933210617
35	0.692140716822	0.738518446972	0.534896716209
36	0.692209790895	0.73855238324	0.534859872689
37	0.692279360217	0.738521057454	0.534822666352
38	0.692349641207	0.738570656615	0.534785020431
39	0.692420369009	0.738554993722	0.53474682503
40	0.692492539048	0.738635918668	0.534707950561
41	0.692565752034	0.738701180721	0.534668216881
42	0.692640518105	0.738740337953	0.534627404064
43	0.692717371937	0.738769053256	0.534585253868
44	0.692795862256	0.738763832292	0.534541433012
45	0.692877634872	0.738779495185	0.534495510826
46	0.692962740124	0.738842146756	0.534446970027
47	0.693052712887	0.738912629774	0.53439511545
48	0.693148516889	0.738904798327	0.534339075509
49	0.693251768853	0.738946566041	0.534277754171
50	0.693364690956	0.738951787006	0.534209814455
51	0.693489758267	0.739056206291	0.534133688148
52	0.693630834293	0.739058816773	0.534047696739
53	0.693790412952	0.739111026415	0.533950208287
54	0.693972148698	0.739082311112	0.533839916012
55	0.694178474354	0.73916584654	0.533716057959
56	0.694409707796	0.73925199245	0.53357855816
57	0.694666304101	0.739416452825	0.533428148367
58	0.694946474726	0.739698384895	0.533266556183
59	0.695245004869	0.73980280418	0.533096761576
60	0.695555227458	0.739956822626	0.532922932745
61	0.695868546101	0.740095178178	0.532749811587
62	0.696175947818	0.740215260356	0.532581711055
63	0.696471347097	0.740395383623	0.532421729527
64	0.696751292103	0.740364057838	0.532271578908
65	0.697013366165	0.740374499766	0.532131777145
66	0.697257257442	0.740481529534	0.532002157931
67	0.697482797417	0.740552012551	0.5318821803
68	0.697690382456	0.740763461604	0.531771155739
69	0.69788220982	0.740849607514	0.53166838722
70	0.698059146206	0.740907038121	0.531573211508
71	0.698222355906	0.740961858246	0.531485000492
72	0.698372140816	0.741102824281	0.53140317316
73	0.698510084907	0.741170696816	0.531327193071
74	0.698638369874	0.741277726583	0.531256542009
75	0.698757130549	0.741324715262	0.531190737816
76	0.698867537758	0.741324715262	0.53112932095
77	0.698970445076	0.741366482976	0.531071857815
78	0.699067283811	0.741376924904	0.531017941423
79	0.699158544854	0.741397808761	0.530967208823
80	0.699243972046	0.741395198279	0.530919338177
81	0.699325233175	0.741502228046	0.53087400951
82	0.699403009129	0.741517890939	0.53083096897
83	0.699476442978	0.741562269135	0.530789961107
84	0.699547237444	0.741593594921	0.530750753757
85	0.699614642709	0.741622310224	0.530713144956
86	0.699679427318	0.741666688421	0.530676930877
87	0.699742534299	0.741656246492	0.530641924723
88	0.699803299488	0.741716287581	0.530607944487
89	0.699862630428	0.741737171438	0.530574831579
90	0.699920406382	0.741810264938	0.530542405189
91	0.699977187774	0.74188596892	0.530510504065
92	0.700033148277	0.741914684223	0.530478959371
93	0.700088541333	0.741951230973	0.530447597216
94	0.700143942137	0.741948620491	0.530416255551
95	0.700199479484	0.741985167241	0.530384733209
96	0.700255237938	0.741990388205	0.530352851908
97	0.70031205421	0.742039987365	0.5303204029
98	0.700369663668	0.742060871222	0.530287176238
99	0.70042919249	0.742086976044	0.530252972219
100	0.700490928809	0.742060871222	0.53021755615
101	0.700555355577	0.742063481704	0.530180725801
102	0.700622941189	0.742055650258	0.530142270162
103	0.700693472406	0.742100028454	0.530102010683
104	0.700767065903	0.742133964722	0.530059796891
105	0.700844502226	0.742149627615	0.530015523678
106	0.700926404365	0.742149627615	0.529969143149
107	0.701011907593	0.742141796168	0.529920673796
108	0.701101160785	0.742118301829	0.52987020516
109	0.701193757248	0.742120912311	0.52981789144
110	0.70128935173	0.742165290508	0.529763971322
111	0.701387978714	0.742207058222	0.529708758928
112	0.701488435399	0.742230552561	0.529652614945
113	0.70158964714	0.742196616293	0.529595954211
114	0.701691088287	0.742207058222	0.529539208593
115	0.701792230355	0.742212279186	0.529482810093
116	0.701892026402	0.742235773525	0.529427174479
117	0.701989903328	0.742246215454	0.529372657782
118	0.702085473359	0.742282762203	0.529319559224
119	0.702177920688	0.742306256543	0.529268098862
120	0.702266557979	0.742355855703	0.529218405219
121	0.702352256703	0.742381960524	0.529170538033
122	0.702434874401	0.742434170167	0.529124486792
123	0.702513752962	0.742447222578	0.529080184709
124	0.70258947593	0.742507263667	0.529037531199
125	0.702662378666	0.742551641863	0.528996378583
126	0.702732530254	0.742530758006	0.528956597272
127	0.70280032976	0.742629956327	0.528918033865
128	0.702865950407	0.742679555487	0.52888053802
129	0.702929701079	0.742723933683	0.528843980682
130	0.702991634846	0.742739596576	0.52880824171
131	0.703052213619	0.742810079594	0.52877321387
132	0.703111343237	0.742807469111	0.528738810016
133	0.703169570602	0.742776143326	0.528704944865
134	0.70322639967	0.742830963451	0.528671558281
135	0.703282673052	0.742883173093	0.528638596114
136	0.703337957198	0.742870120683	0.528606015657
137	0.703393030787	0.742833573933	0.528573771939
138	0.703446952813	0.74285445779	0.528541852055
139	0.703500333574	0.742862289236	0.528510223542
140	0.703552737153	0.74289100454	0.528478875224
